teks,clean1,clean2,clean3,sentimen_lexicon,label_lexicon,cleaned
"@ asepiwansh1 @ cnnindonesia @ najwashihab @ aagym @ titieksoeharto @ tni_ad @ kompascom @ korantempo @ tvonenews @ cnbc @ lelosutan @ nahdlatululama @ muhammadiyah @ pak_jk @ tebuirengonline @ drslsimonspkk @ pbidi @ fadlizon @ detikcom @ aslisuroboyo @ usembassyjkt @ vp @ cnn @ jimlyas @ msaid_didu @ rockygerung @ unpad @ univ_indonesia @ unj_official @ aceh @ pksejahtera @ potus @ yennywahid @ hnurwahid @ hanumrais @ alissawahid @ anitawahid @ nu_online @ ustadtengkuzul @ haikal_hassan @ ustadabdulsomad @ ipbofficial @ ugmyogyakarta @ undip @ ub_official @ unair_official @ its_campus @ infosumbar @ dubesaustralia @ blogdokter mutasi virus.c19 skr amp ; yad , vaksin2 cina tak efektif amp ; tak aman janga pendek amp ; panjang . virus dlm vaksin disuntik ketubuh , mutasi genetik amp ; +penyakit dahsyat , kanker/cacat kasustalidomid . kirim jokowi kenerakaa maksa https : //t.co/euopjlgovw",   cnnindonesia  najwashihab  aagym  titieksoeharto  tniad  kompascom  korantempo  tvonenews  cnbc  lelosutan  nahdlatululama  muhammadiyah  pakjk  tebuirengonline  drslsimonspkk  pbidi  fadlizon  detikcom  aslisuroboyo  usembassyjkt  vp  cnn  jimlyas  msaiddidu  rockygerung  unpad  univindonesia  unjofficial  aceh  pksejahtera  potus  yennywahid  hnurwahid  hanumrais  alissawahid  anitawahid  nuonline  ustadtengkuzul  haikalhassan  ustadabdulsomad  ipbofficial  ugmyogyakarta  undip  ubofficial  unairofficial  itscampus  infosumbar  dubesaustralia  blogdokter mutasi  skr amp  yad   cina tak efektif amp  tak aman janga pendek amp  panjang  virus dlm vaksin disuntik ketubuh  mutasi genetik amp  penyakit dahsyat  kankercacat kasustalidomid  kirim jokowi kenerakaa maksa https  tcoeuopjlgovw,cnnindonesia najwashihab aagym titieksoeharto tniad kompascom korantempo tvonenews cnbc lelosutan nahdlatululama muhammadiyah pakjk tebuirengonline drslsimonspkk pbidi fadlizon detikcom aslisuroboyo usembassyjkt vp cnn jimlyas msaiddidu rockygerung unpad univindonesia unjofficial aceh pksejahtera potus yennywahid hnurwahid hanumrais alissawahid anitawahid nuonline ustadtengkuzul haikalhassan ustadabdulsomad ipbofficial ugmyogyakarta undip ubofficial unairofficial itscampus infosumbar dubesaustralia blogdokter mutasi skr amp yad cina efektif amp aman janga pendek amp virus dlm vaksin disuntik ketubuh mutasi genetik amp penyakit dahsyat kankercacat kasustalidomid kirim jokowi kenerakaa maksa https tcoeuopjlgovw,cnnindonesia najwashihab aagym titieksoeharto tniad kompascom korantempo tvonenews cnbc lelosutan nahdlatululama muhammadiyah pakjk tebuirengonline drslsimonspkk pbidi fadlizon detikcom aslisuroboyo usembassyjkt vp cnn jimlyas msaiddidu rockygerung unpad univindonesia unjofficial aceh pksejahtera potus yennywahid hnurwahid hanumrais alissawahid anitawahid nuonline ustadtengkuzul haikalhassan ustadabdulsomad ipbofficial ugmyogyakarta undip ubofficial unairofficial itscampus infosumbar dubesaustralia blogdokter mutasi skr amp yad cina efektif amp aman janga pendek amp virus dlm vaksin suntik tubuh mutasi genetik amp sakit dahsyat kankercacat kasustalidomid kirim jokowi kenerakaa maksa https tcoeuopjlgovw,-4,2,cnnindonesia najwashihab aagym titieksoeharto tniad kompascom korantempo tvonenews cnbc lelosutan nahdlatululama muhammadiyah pakjk tebuirengonline drslsimonspkk pbidi fadlizon detikcom aslisuroboyo usembassyjkt vp cnn jimlyas msaiddidu rockygerung unpad univindonesia unjofficial aceh pksejahtera potus yennywahid hnurwahid hanumrais alissawahid anitawahid nuonline ustadtengkuzul haikalhassan ustadabdulsomad ipbofficial ugmyogyakarta undip ubofficial unairofficial itscampus infosumbar dubesaustralia blogdokter mutasi skr amp yad cina efektif amp aman janga pendek amp virus dlm vaksin suntik tubuh mutasi genetik amp sakit dahsyat kankercacat kasustalidomid kirim jokowi kenerakaa maksa https tcoeuopjlgovw
"@ infomalang @ adillawongso @ pkm_cisadea habis vaksin kan observasi 30 menit , observasi diijinkan pulang disertai surat keterangan vaksin . nahh gliyeng nya rumah , menghubungi nomor tertera surat vaksin nya ,", infomalang  adillawongso  pkmcisadea habis vaksin kan observasi  menit  observasi diijinkan pulang disertai surat keterangan vaksin  nahh gliyeng nya rumah  menghubungi nomor tertera surat vaksin nya ,infomalang adillawongso pkmcisadea habis vaksin observasi menit observasi diijinkan pulang disertai surat keterangan vaksin nahh gliyeng nya rumah menghubungi nomor tertera surat vaksin nya,infomalang adillawongso pkmcisadea habis vaksin observasi menit observasi diijinkan pulang serta surat terang vaksin nahh gliyeng nya rumah hubung nomor tera surat vaksin nya,11,1,infomalang adillawongso pkmcisadea habis vaksin observasi menit observasi diijinkan pulang serta surat terang vaksin nahh gliyeng nya rumah hubung nomor tera surat vaksin nya
khairy jamaluddin sahkan pekerja hotel pahang dah terima suntikan vaksin covid-19 https : //t.co/710eldhjzx # gossip # selebriti https : //t.co/nv0hytgrpt,khairy jamaluddin sahkan pekerja hotel pahang dah terima suntikan vaksin  https    gossip  selebriti https  ,khairy jamaluddin sahkan pekerja hotel pahang dah terima suntikan vaksin https gossip selebriti https,khairy jamaluddin sahkan kerja hotel pahang dah terima sunti vaksin https gossip selebriti https,2,1,khairy jamaluddin sahkan kerja hotel pahang dah terima sunti vaksin https gossip selebriti https
guru sukabumi mengalami kebutaan lumpuh vaksinasi.masih ngerasa baik2 vaksin ? indonesia sadar ? ? https : //t.co/mywxmlxsdx https : //t.co/jnthdahach,guru sukabumi mengalami kebutaan lumpuh vaksinasimasih ngerasa  vaksin  indonesia sadar   https  tcomywxmlxsdx https  tcojnthdahach,guru sukabumi mengalami kebutaan lumpuh vaksinasimasih ngerasa vaksin indonesia sadar https tcomywxmlxsdx https tcojnthdahach,guru sukabumi alami buta lumpuh vaksinasimasih ngerasa vaksin indonesia sadar https tcomywxmlxsdx https tcojnthdahach,-3,2,guru sukabumi alami buta lumpuh vaksinasimasih ngerasa vaksin indonesia sadar https tcomywxmlxsdx https tcojnthdahach
@ rudeski83 @ b4setia @ detikcom kena vaksin improt merk imitasi tuh,     detikcom kena vaksin improt merk imitasi tuh,detikcom kena vaksin improt merk imitasi tuh,detikcom kena vaksin improt merk imitasi tuh,0,0,detikcom kena vaksin improt merk imitasi tuh
"@ tengkuhaslinda gaji menteri singget je..menggelupur diorang nnt keje lapangan . menteri penyelaras vaksin bangang gak , selaras vaksin pusat kasino..😂", tengkuhaslinda gaji menteri singget jemenggelupur diorang nnt keje lapangan  menteri penyelaras vaksin bangang gak  selaras vaksin pusat kasino😂,tengkuhaslinda gaji menteri singget jemenggelupur diorang nnt keje lapangan menteri penyelaras vaksin bangang gak selaras vaksin pusat kasino😂,tengkuhaslinda gaji menteri singget jemenggelupur orang nnt keje lapang menteri selaras vaksin bangang gak selaras vaksin pusat kasino,9,1,tengkuhaslinda gaji menteri singget jemenggelupur orang nnt keje lapang menteri selaras vaksin bangang gak selaras vaksin pusat kasino
negara buang2 14 juta dosis vaksin . kegagalan proses alokasi logistik 👍👍👍👍 https : //t.co/owq7qomdb5,negara   juta dosis vaksin  kegagalan proses alokasi logistik 👍👍👍👍 https  ,negara juta dosis vaksin kegagalan proses alokasi logistik 👍👍👍👍 https,negara juta dosis vaksin gagal proses alokasi logistik https,-1,2,negara juta dosis vaksin gagal proses alokasi logistik https
"bar vaksin awake pegel , ditambah ndelok arsenal .. hesshhh kopettt",bar vaksin awake pegel  ditambah ndelok arsenal  hesshhh kopettt,bar vaksin awake pegel ditambah ndelok arsenal hesshhh kopettt,bar vaksin awake gel tambah ndelok arsenal hesshhh kopettt,3,1,bar vaksin awake gel tambah ndelok arsenal hesshhh kopettt
"@ detikcom takut efek vaksin , ngomong-ngomong doi vaksin merk lokal import", detikcom takut efek vaksin  ngomongngomong doi vaksin merk lokal import,detikcom takut efek vaksin ngomongngomong doi vaksin merk lokal import,detikcom takut efek vaksin ngomongngomong doi vaksin merk lokal import,3,1,detikcom takut efek vaksin ngomongngomong doi vaksin merk lokal import
"dear @ radzijidin , terima kasih kerana bersusah payah pelajar sekolah vaksin mampos kena covid19 . hargai susah payah berusaha menjamin cepat mampos . tk .",dear  radzijidin  terima kasih kerana bersusah payah pelajar sekolah vaksin mampos kena   hargai susah payah berusaha menjamin cepat mampos  tk ,dear radzijidin terima kasih kerana bersusah payah pelajar sekolah vaksin mampos kena hargai susah payah berusaha menjamin cepat mampos tk,dear radzijidin terima kasih rana susah payah ajar sekolah vaksin mampos kena harga susah payah usaha jamin cepat mampos tk,7,1,dear radzijidin terima kasih rana susah payah ajar sekolah vaksin mampos kena harga susah payah usaha jamin cepat mampos tk
@ suarabiasa mendpt suntikan vaksin astrazeneca sepenuhnya..alhamdulillah sihat ., suarabiasa mendpt suntikan vaksin astrazeneca sepenuhnyaalhamdulillah sihat ,suarabiasa mendpt suntikan vaksin astrazeneca sepenuhnyaalhamdulillah sihat,suarabiasa mendpt sunti vaksin astrazeneca sepenuhnyaalhamdulillah sihat,0,0,suarabiasa mendpt sunti vaksin astrazeneca sepenuhnyaalhamdulillah sihat
@ seetie_ cuba bayangkn vaksin covid getback ngan, seetie cuba bayangkn vaksin covid getback ngan,seetie cuba bayangkn vaksin covid getback ngan,seetie cuba bayangkn vaksin covid getback ngan,0,0,seetie cuba bayangkn vaksin covid getback ngan
"@ barbaro5_ @ natali_cristi3n @ vaksin_vuritust @ gkampang bang udin ... hamili abang ... biar enak.. 🤭 , 🤣🤣",     vaksinvuritust  gkampang bang udin  hamili abang  biar enak 🤭  🤣🤣,vaksinvuritust gkampang bang udin hamili abang biar enak 🤭 🤣🤣,vaksinvuritust gkampang bang udin hamil abang biar enak,1,1,vaksinvuritust gkampang bang udin hamil abang biar enak
orang-orang vaksin dmn sih ? golongan prioritas iya😐,orangorang vaksin dmn sih  golongan prioritas iya😐,orangorang vaksin dmn sih golongan prioritas iya😐,orangorang vaksin dmn sih golong prioritas iya,0,0,orangorang vaksin dmn sih golong prioritas iya
@ detikcom proses penyetujuan obat/vaksin ilmiah memperkecil efek tidak menguntungkan.., detikcom proses penyetujuan obatvaksin ilmiah memperkecil efek tidak menguntungkan,detikcom proses penyetujuan obatvaksin ilmiah memperkecil efek menguntungkan,detikcom proses tuju obatvaksin ilmiah kecil efek untung,7,1,detikcom proses tuju obatvaksin ilmiah kecil efek untung
"berawal nawarin , berakhir paksaan ( perihal vaksin ) ~ -mama , 2021",berawal nawarin  berakhir paksaan  perihal vaksin   mama  ,nawarin paksaan perihal vaksin mama,nawarin paksa perihal vaksin mama,0,0,nawarin paksa perihal vaksin mama
"pemerintah tekankan , vaksin digunakan dalam program vaksinasi dijamin aman tubuh https : //t.co/qrvf0urdzk",pemerintah tekankan  vaksin digunakan dalam program vaksinasi dijamin aman tubuh https  ,pemerintah tekankan vaksin program vaksinasi dijamin aman tubuh https,perintah tekan vaksin program vaksinasi jamin aman tubuh https,-8,2,perintah tekan vaksin program vaksinasi jamin aman tubuh https
"pemerintah tekankan , vaksin digunakan dalam program vaksinasi dijamin aman tubuh https : //t.co/jay1wdhr06",pemerintah tekankan  vaksin digunakan dalam program vaksinasi dijamin aman tubuh https  ,pemerintah tekankan vaksin program vaksinasi dijamin aman tubuh https,perintah tekan vaksin program vaksinasi jamin aman tubuh https,-8,2,perintah tekan vaksin program vaksinasi jamin aman tubuh https
"pemerintah tekankan , vaksin digunakan dalam program vaksinasi dijamin aman tubuh https : //t.co/oyg60eyrz3",pemerintah tekankan  vaksin digunakan dalam program vaksinasi dijamin aman tubuh https  ,pemerintah tekankan vaksin program vaksinasi dijamin aman tubuh https,perintah tekan vaksin program vaksinasi jamin aman tubuh https,-8,2,perintah tekan vaksin program vaksinasi jamin aman tubuh https
"pemerintah tekankan , vaksin digunakan dalam program vaksinasi dijamin aman tubuh https : //t.co/2hnxl7hwso",pemerintah tekankan  vaksin digunakan dalam program vaksinasi dijamin aman tubuh https  ,pemerintah tekankan vaksin program vaksinasi dijamin aman tubuh https,perintah tekan vaksin program vaksinasi jamin aman tubuh https,-8,2,perintah tekan vaksin program vaksinasi jamin aman tubuh https
"@ detikcom vaksin astra sakit kepala , sinovac lembut tuh ..ini gmna cerita nya lumpuh pandangan kabur .", detikcom vaksin astra sakit kepala  sinovac lembut tuh ini gmna cerita nya lumpuh pandangan kabur ,detikcom vaksin astra sakit kepala sinovac lembut tuh gmna cerita nya lumpuh pandangan kabur,detikcom vaksin astra sakit kepala sinovac lembut tuh gmna cerita nya lumpuh pandang kabur,-4,2,detikcom vaksin astra sakit kepala sinovac lembut tuh gmna cerita nya lumpuh pandang kabur
"pemerintah tekankan , vaksin digunakan dalam program vaksinasi dijamin aman tubuh https : //t.co/w6axrvnulh",pemerintah tekankan  vaksin digunakan dalam program vaksinasi dijamin aman tubuh https  ,pemerintah tekankan vaksin program vaksinasi dijamin aman tubuh https,perintah tekan vaksin program vaksinasi jamin aman tubuh https,-8,2,perintah tekan vaksin program vaksinasi jamin aman tubuh https
@ jkchahil @ jkjavmy @ chriskc_lee @ drdzul @ ghows quite an expensive exercise . what could be done is to test a small but representative sample to see antibody responses ., jkchahil  jkjavmy  chriskclee  drdzul  ghows quite an expensive exercise  what could be done is to test a small but representative sample to see antibody responses ,jkchahil jkjavmy chriskclee drdzul ghows quite an expensive exercise what could be done is to test a small but representative sample to see antibody responses,jkchahil jkjavmy chriskclee drdzul ghows quite an expensive exercise what could be done is to test a small but representative sample to see antibody responses,0,0,jkchahil jkjavmy chriskclee drdzul ghows quite an expensive exercise what could be done is to test a small but representative sample to see antibody responses
@ kant0ngkresek @ dranux @ detikcom rata2 pembuatan vaksin penyakit bertahun-tahun . corona selesai gak nyampe setahun . kualitasnya ditebak . 😃,   dranux  detikcom  pembuatan vaksin penyakit bertahuntahun  corona selesai gak nyampe setahun  kualitasnya ditebak  😃,dranux detikcom pembuatan vaksin penyakit bertahuntahun corona selesai gak nyampe setahun kualitasnya ditebak 😃,dranux detikcom buat vaksin sakit bertahuntahun corona selesai gak nyampe tahun kualitas tebak,5,1,dranux detikcom buat vaksin sakit bertahuntahun corona selesai gak nyampe tahun kualitas tebak
"@ asdp191 rencananya melakukan penyebrangan bakauheni- merak , surat keterangan vaksin digunakan pengganti hasil tes rapid antigen/ pcr ?",  rencananya melakukan penyebrangan bakauheni merak  surat keterangan vaksin digunakan pengganti hasil tes rapid antigen pcr ,rencananya penyebrangan bakauheni merak surat keterangan vaksin pengganti hasil tes rapid antigen pcr,rencana penyebrangan bakauheni merak surat terang vaksin ganti hasil tes rapid antigen pcr,10,1,rencana penyebrangan bakauheni merak surat terang vaksin ganti hasil tes rapid antigen pcr
emas terima suntikan vaksin perlu patuhi sop – dr noor hisham https : //t.co/hzlkkct1kv https : //t.co/3uearnibwe,emas terima suntikan vaksin perlu patuhi sop – dr noor hisham https   https  ,emas terima suntikan vaksin patuhi sop – dr noor hisham https https,emas terima sunti vaksin patuh sop dr noor hisham https https,6,1,emas terima sunti vaksin patuh sop dr noor hisham https https
"@ asepiwansh1 @ cnnindonesia @ najwashihab @ aagym @ titieksoeharto @ tni_ad @ kompascom @ korantempo @ tvonenews @ cnbc @ lelosutan @ nahdlatululama @ muhammadiyah @ pak_jk @ tebuirengonline @ drslsimonspkk @ pbidi @ fadlizon @ detikcom @ aslisuroboyo @ usembassyjkt @ vp @ cnn @ jimlyas @ msaid_didu @ rockygerung @ unpad @ univ_indonesia @ unj_official @ aceh @ pksejahtera @ potus @ yennywahid @ hnurwahid @ hanumrais @ alissawahid @ anitawahid @ nu_online @ ustadtengkuzul @ haikal_hassan @ ustadabdulsomad @ ipbofficial @ ugmyogyakarta @ undip @ ub_official @ unair_official @ its_campus @ infosumbar @ dubesaustralia @ blogdokter mutasi virus.c19 skr amp ; yad , vaksin2 cina tak efektif amp ; tak aman janga pendek amp ; panjang . virus dlm vaksin disuntik ketubuh , mutasi genetik amp ; +penyakit dahsyat , kanker/cacat kasustalidomid . kirim jokowi kenerakaa maksa https : //t.co/wsh5wyx3zv",   cnnindonesia  najwashihab  aagym  titieksoeharto  tniad  kompascom  korantempo  tvonenews  cnbc  lelosutan  nahdlatululama  muhammadiyah  pakjk  tebuirengonline  drslsimonspkk  pbidi  fadlizon  detikcom  aslisuroboyo  usembassyjkt  vp  cnn  jimlyas  msaiddidu  rockygerung  unpad  univindonesia  unjofficial  aceh  pksejahtera  potus  yennywahid  hnurwahid  hanumrais  alissawahid  anitawahid  nuonline  ustadtengkuzul  haikalhassan  ustadabdulsomad  ipbofficial  ugmyogyakarta  undip  ubofficial  unairofficial  itscampus  infosumbar  dubesaustralia  blogdokter mutasi  skr amp  yad   cina tak efektif amp  tak aman janga pendek amp  panjang  virus dlm vaksin disuntik ketubuh  mutasi genetik amp  penyakit dahsyat  kankercacat kasustalidomid  kirim jokowi kenerakaa maksa https  ,cnnindonesia najwashihab aagym titieksoeharto tniad kompascom korantempo tvonenews cnbc lelosutan nahdlatululama muhammadiyah pakjk tebuirengonline drslsimonspkk pbidi fadlizon detikcom aslisuroboyo usembassyjkt vp cnn jimlyas msaiddidu rockygerung unpad univindonesia unjofficial aceh pksejahtera potus yennywahid hnurwahid hanumrais alissawahid anitawahid nuonline ustadtengkuzul haikalhassan ustadabdulsomad ipbofficial ugmyogyakarta undip ubofficial unairofficial itscampus infosumbar dubesaustralia blogdokter mutasi skr amp yad cina efektif amp aman janga pendek amp virus dlm vaksin disuntik ketubuh mutasi genetik amp penyakit dahsyat kankercacat kasustalidomid kirim jokowi kenerakaa maksa https,cnnindonesia najwashihab aagym titieksoeharto tniad kompascom korantempo tvonenews cnbc lelosutan nahdlatululama muhammadiyah pakjk tebuirengonline drslsimonspkk pbidi fadlizon detikcom aslisuroboyo usembassyjkt vp cnn jimlyas msaiddidu rockygerung unpad univindonesia unjofficial aceh pksejahtera potus yennywahid hnurwahid hanumrais alissawahid anitawahid nuonline ustadtengkuzul haikalhassan ustadabdulsomad ipbofficial ugmyogyakarta undip ubofficial unairofficial itscampus infosumbar dubesaustralia blogdokter mutasi skr amp yad cina efektif amp aman janga pendek amp virus dlm vaksin suntik tubuh mutasi genetik amp sakit dahsyat kankercacat kasustalidomid kirim jokowi kenerakaa maksa https,-4,2,cnnindonesia najwashihab aagym titieksoeharto tniad kompascom korantempo tvonenews cnbc lelosutan nahdlatululama muhammadiyah pakjk tebuirengonline drslsimonspkk pbidi fadlizon detikcom aslisuroboyo usembassyjkt vp cnn jimlyas msaiddidu rockygerung unpad univindonesia unjofficial aceh pksejahtera potus yennywahid hnurwahid hanumrais alissawahid anitawahid nuonline ustadtengkuzul haikalhassan ustadabdulsomad ipbofficial ugmyogyakarta undip ubofficial unairofficial itscampus infosumbar dubesaustralia blogdokter mutasi skr amp yad cina efektif amp aman janga pendek amp virus dlm vaksin suntik tubuh mutasi genetik amp sakit dahsyat kankercacat kasustalidomid kirim jokowi kenerakaa maksa https
@ drhirman ramai deh vaksin kes . gi tuh ?, drhirman ramai deh vaksin kes  gi tuh ,drhirman ramai deh vaksin kes gi tuh,drhirman ramai deh vaksin kes gi tuh,6,1,drhirman ramai deh vaksin kes gi tuh
"@ msianinsight add door gift , lucky draw , free ice cream magnum . bukan vaksin", msianinsight add door gift  lucky draw  free ice cream magnum  bukan vaksin,msianinsight add door gift lucky draw free ice cream magnum vaksin,msianinsight add door gift lucky draw free ice cream magnum vaksin,0,0,msianinsight add door gift lucky draw free ice cream magnum vaksin
